Time,Heater1,Heater2,Airfresh,Multiplug,Com_A,Com_B,Com_C,Temp,Weather,People_A,People_B,People_C,People,Total_consumption
0,0,0,2,35,3,8,23,-6.6,0,0,0,0,0,71
1,0,0,2,34,3,8,22,-6.4,0,0,0,0,0,69
2,0,0,2,33,3,7,23,-6.4,0,0,0,0,0,68
3,0,0,2,22,3,8,23,-6.4,0,0,0,0,0,58
4,0,0,2,34,3,7,23,-6.5,0,0,0,0,0,69
5,0,0,2,34,3,8,23,-7,0,0,0,0,0,70
6,0,0,2,33,3,8,22,-7.4,0,0,0,0,0,68
7,0,0,2,24,3,7,23,-9,0,0,0,0,0,59
8,803,262,4,30,3,11,22,-8.8,0,0,0,0,0,1135
9,1876,749,5,36,3,12,23,-7.1,0,0,0,0,0,2704
10,386,755,6,45,149,11,22,-4.2,0,1,0,0,1,1374
11,0,762,6,72,150,30,23,-3.7,0,1,1,0,1,1043
12,0,763,6,39,154,123,161,-2.7,0,1,1,1,1,1246
13,0,544,6,41,137,177,155,-2.3,0,1,1,1,1,1060
14,0,766,6,77,154,174,155,-2.2,0,1,1,1,1,1332
15,0,762,5,37,148,174,155,-1.3,0,1,1,1,1,1281
16,1,760,6,37,159,167,156,-0.8,0,1,1,1,1,1286
17,0,800,5,31,153,182,330,-1.9,0,0,1,1,1,1501
18,0,31,6,28,166,162,157,-2.4,0,1,1,1,1,550
19,0,782,6,36,64,269,0,-3.3,0,1,1,1,1,1157
20,0,782,6,36,3,12,48,-3.1,0,0,0,0,0,887
21,0,783,6,35,3,12,23,-3.2,0,0,0,0,0,862
22,0,786,6,35,3,12,22,-3.3,0,0,0,0,0,864
23,0,788,6,35,3,7,23,-5.4,0,0,0,0,0,862
0,0,782,6,35,3,11,21,-6.2,0,0,0,0,0,858
1,0,783,6,24,3,12,23,-5,0,0,0,0,0,851
2,0,792,6,32,3,32,23,-6.9,0,0,0,0,0,888
3,0,796,6,35,3,22,23,-7.5,0,0,0,0,0,885
4,0,796,6,37,3,12,22,-7.4,0,0,0,0,0,876
5,0,626,2,35,3,8,6,-7.7,0,0,0,0,0,680
6,0,0,2,34,3,8,6,-7.7,0,0,0,0,0,53
7,0,0,2,31,3,8,5,-8,0,0,0,0,0,49
8,0,0,3,24,43,14,12,-8,0,1,0,0,1,96
9,0,310,5,33,143,25,5,-5.6,0,1,0,0,1,521
10,180,781,6,37,163,29,22,-1.9,0,1,1,0,1,1218
11,1693,766,6,68,164,164,23,-1.6,0,1,1,0,1,2884
12,0,766,6,50,167,156,23,-0.9,0,1,1,0,1,1168
13,0,408,5,38,158,301,0,1,0,1,1,0,1,910
14,0,0,6,36,162,145,50,1.2,0,1,1,1,1,399
15,0,0,6,30,161,65,108,3.2,0,1,1,1,1,370
16,0,0,5,35,172,152,156,2.1,0,1,1,1,1,520
17,0,0,5,39,175,156,155,-0.2,0,1,1,1,1,530
18,0,0,5,40,91,153,163,-1,0,1,1,1,1,452
19,0,0,6,57,3,93,224,-2.2,0,0,0,1,1,383
20,0,0,6,75,3,146,153,-2.4,0,0,0,1,1,383
21,0,317,6,42,3,92,112,-3,0,0,0,1,1,572
22,0,789,6,38,3,92,229,-0.9,0,0,0,1,1,1157
23,0,794,5,37,3,92,23,0.7,0,0,0,0,0,954
0,0,791,6,37,3,41,23,1.2,0,0,0,0,0,901
1,0,793,5,37,3,14,22,1.7,0,0,0,0,0,874
2,0,798,6,37,3,91,23,2,0,0,0,0,0,958
3,0,804,6,36,3,91,23,1.9,0,0,0,0,0,963
4,0,800,4,43,3,122,23,2.2,0,0,0,0,0,995
5,0,788,3,57,3,70,23,2.1,0,0,0,0,0,944
6,0,778,3,36,3,83,22,1.4,0,0,0,0,0,925
7,0,770,3,35,3,87,23,0.9,2,0,0,0,0,921
8,0,769,6,36,3,159,23,0.3,2,0,0,0,0,996
9,0,899,5,37,3,87,22,1.1,2,0,0,0,0,1053
10,0,0,5,37,3,92,23,1.4,0,0,0,0,0,160
11,0,0,6,38,3,91,9,2.9,0,0,0,0,0,147
12,0,0,5,34,3,100,23,5,0,0,0,0,0,165
13,0,0,5,33,3,92,23,6.8,0,0,0,0,0,156
14,0,228,5,31,3,91,23,7.3,0,0,0,0,0,381
15,0,0,6,37,3,91,22,7.8,0,0,0,0,0,159
16,1803,418,5,37,162,92,23,7,0,1,0,0,1,2540
17,1893,765,5,38,167,79,23,5.1,0,1,0,0,1,2970
18,61,769,6,37,143,93,23,2.2,0,1,0,0,1,1132
19,0,40,5,38,152,92,23,2.3,0,1,0,0,1,350
20,0,160,5,38,159,92,22,5,0,1,0,0,1,476
21,0,0,5,38,137,92,23,3.7,0,1,0,0,1,295
22,0,0,5,39,142,91,23,2.6,0,1,0,0,1,300
23,0,0,6,38,131,72,23,1.5,0,1,0,0,1,270
0,0,0,6,38,3,92,116,0.9,0,0,0,1,1,255
1,0,0,5,38,3,137,170,-0.2,0,0,0,1,1,353
2,0,0,5,35,3,63,145,-1.1,0,0,0,1,1,251
3,0,0,5,34,3,78,164,-1.6,0,0,0,1,1,284
4,0,0,5,33,3,55,243,-2,0,0,0,1,1,339
5,0,0,5,35,3,92,163,-2.5,0,0,0,1,1,298
6,0,0,5,38,3,92,115,-2.9,0,0,0,1,1,253
7,0,0,5,37,3,130,147,-3.2,0,0,0,1,1,322
8,0,0,5,38,3,91,228,-3.2,0,0,0,0,0,365
9,0,0,5,37,3,138,0,-3.1,0,0,0,1,1,183
10,0,3,5,38,3,15,136,-2.7,0,0,0,1,1,200
11,0,901,5,38,3,92,140,-2.2,0,0,0,1,1,1179
12,0,0,5,38,3,172,138,-1.7,0,0,0,1,1,356
13,0,0,5,38,3,88,58,-1.4,0,0,0,1,1,192
14,0,0,5,38,3,91,139,-1.1,0,0,0,1,1,276
15,482,0,5,38,69,91,143,-0.9,0,0,0,1,1,828
16,1891,0,5,38,141,93,284,-1.1,0,1,0,1,1,2452
17,1372,0,5,38,140,94,23,-1.5,0,1,0,0,1,1672
18,1906,0,5,38,142,93,23,-1.8,0,1,0,0,1,2207
19,1857,0,5,38,166,93,23,-1.9,0,1,0,0,1,2182
20,802,0,5,36,151,81,23,-2.6,0,1,0,0,1,1098
21,1068,0,5,33,150,92,23,-2.6,0,1,0,0,1,1371
22,0,0,6,31,121,94,23,-3.2,0,1,0,0,1,275
23,0,0,6,67,3,68,22,-3.7,0,0,0,0,0,166
0,0,0,6,46,3,92,23,-3.8,0,0,0,0,0,170
1,0,0,6,38,3,148,23,-4,0,0,0,0,0,218
2,0,0,6,38,3,94,23,-4.3,0,0,0,0,0,164
3,0,0,5,37,3,92,23,-4.5,0,0,0,0,0,160
4,0,0,5,37,3,138,22,-4.4,0,0,0,0,0,205
5,0,0,5,37,3,91,6,-4.2,0,0,0,0,0,142
6,0,0,4,37,3,91,5,-4.5,0,0,0,0,0,140
7,0,0,4,37,3,91,0,-5.7,0,0,0,0,0,135
8,226,41,6,62,80,131,2,-6.7,0,1,0,0,1,548
9,1872,399,5,69,155,91,23,-6.1,0,1,0,0,1,2614
10,1599,0,5,70,142,36,39,-3,0,0,1,0,1,1891
11,0,0,5,39,136,257,159,-1.8,0,0,1,1,1,596
12,0,0,5,34,139,157,157,-1,0,0,0,1,1,492
13,0,0,5,76,147,63,158,-0.2,0,1,0,1,1,449
14,0,0,5,67,148,162,154,1.2,0,1,1,1,1,536
15,0,0,5,59,142,170,158,1.7,0,1,1,1,1,534
16,0,0,5,71,145,175,210,2,0,1,1,1,1,606
17,0,0,5,64,150,172,0,0.2,0,1,1,1,1,391
